region_id,state,district,latitude,longitude,date,rainfall_mm,temperature_c,source_mode
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260320,64.35,1.75,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260321,1.13,4.92,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260322,0.12,5.92,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260323,2.81,6.03,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260324,0.21,6.56,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260325,0.01,6.83,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260326,0.03,9.33,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260327,0.9,8.63,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260328,0.29,8.77,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260329,0.73,9.93,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260330,0.29,10.91,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260331,3.13,10.95,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260401,0.63,9.89,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260402,0.04,11.13,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260403,0.67,11.03,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260404,6.06,7.89,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260405,6.2,6.38,downloaded
